time_s,mean_C,loss_per_initial_dry_mass,steps,iterations,rejections,min_dt,max_dt,max_scaled_residual,damped_iterations,water_balance_residual
5.577000000000000000e+03,1.850422409587814565e+00,1.030815820042877247e-04,1.930000000000000000e+02,3.850000000000000000e+02,0.000000000000000000e+00,5.820766091346740723e-11,5.208333333333333044e-03,1.643832826837006135e-05,0.000000000000000000e+00,-8.157918784945650259e-13
5.578000000000000000e+03,1.850319332924545979e+00,1.030766632694477881e-04,1.930000000000000000e+02,3.850000000000000000e+02,0.000000000000000000e+00,5.820766091346740723e-11,5.208333333333333044e-03,1.639641275861087694e-05,0.000000000000000000e+00,-8.149037000748649007e-13
5.579000000000000000e+03,1.850216261180444688e+00,1.030717440996618540e-04,1.930000000000000000e+02,3.850000000000000000e+02,0.000000000000000000e+00,5.820766091346740723e-11,5.208333333333333044e-03,1.680290029494091225e-05,0.000000000000000000e+00,-8.166800569142651511e-13
5.580000000000000000e+03,1.850113194355946789e+00,1.030668244981366809e-04,1.930000000000000000e+02,3.850000000000000000e+02,0.000000000000000000e+00,5.820766091346740723e-11,5.208333333333333044e-03,1.647894449720875619e-05,0.000000000000000000e+00,-8.162359677044150885e-13
5.581000000000000000e+03,1.850010132831665377e+00,1.030615242794686291e-04,1.930000000000000000e+02,3.850000000000000000e+02,0.000000000000000000e+00,5.820766091346740723e-11,5.208333333333333044e-03,1.652203265689972204e-05,0.000000000000000000e+00,-8.180123245438153390e-13
5.582000000000000000e+03,1.849907076981389675e+00,1.030558502775544689e-04,1.930000000000000000e+02,3.850000000000000000e+02,0.000000000000000000e+00,5.820766091346740723e-11,5.208333333333333044e-03,1.642175403128065574e-05,0.000000000000000000e+00,-8.162359677044150885e-13
5.583000000000000000e+03,1.849804026802753576e+00,1.030501786345227531e-04,1.930000000000000000e+02,3.850000000000000000e+02,0.000000000000000000e+00,5.820766091346740723e-11,5.208333333333333044e-03,1.653600520975663621e-05,0.000000000000000000e+00,-8.180123245438153390e-13
5.584000000000000000e+03,1.849700982294133933e+00,1.030445086180568085e-04,1.930000000000000000e+02,3.850000000000000000e+02,0.000000000000000000e+00,5.820766091346740723e-11,5.208333333333333044e-03,1.622965091416877327e-05,0.000000000000000000e+00,-8.193445921733655268e-13
5.585000000000000000e+03,1.849597943454254212e+00,1.030388398832051642e-04,1.930000000000000000e+02,3.850000000000000000e+02,0.000000000000000000e+00,5.820766091346740723e-11,5.208333333333333044e-03,1.604879339292188286e-05,0.000000000000000000e+00,-8.162359677044150885e-13
5.586000000000000000e+03,1.849494910282035054e+00,1.030331722149197752e-04,1.930000000000000000e+02,3.850000000000000000e+02,0.000000000000000000e+00,5.820766091346740723e-11,5.208333333333333044e-03,1.675267268319126241e-05,0.000000000000000000e+00,-8.202327705930656521e-13
5.587000000000000000e+03,1.849391882776574958e+00,1.030275054625277918e-04,1.930000000000000000e+02,3.850000000000000000e+02,0.000000000000000000e+00,5.820766091346740723e-11,5.208333333333333044e-03,1.644502242279915813e-05,0.000000000000000000e+00,-8.180123245438153390e-13
5.588000000000000000e+03,1.849288860937062795e+00,1.030218395130196366e-04,1.930000000000000000e+02,3.850000000000000000e+02,0.000000000000000000e+00,5.820766091346740723e-11,5.208333333333333044e-03,1.668196026442942323e-05,0.000000000000000000e+00,-8.171241461241152138e-13
5.589000000000000000e+03,1.849185844762785802e+00,1.030161742777149173e-04,1.930000000000000000e+02,3.850000000000000000e+02,0.000000000000000000e+00,5.820766091346740723e-11,5.208333333333333044e-03,1.687146836048414599e-05,0.000000000000000000e+00,-8.162359677044150885e-13
5.590000000000000000e+03,1.849082834253101826e+00,1.030105096847364375e-04,1.930000000000000000e+02,3.850000000000000000e+02,0.000000000000000000e+00,5.820766091346740723e-11,5.208333333333333044e-03,1.650909767976834421e-05,0.000000000000000000e+00,-8.153477892847149633e-13
5.591000000000000000e+03,1.848979829407427333e+00,1.030048456743898685e-04,1.930000000000000000e+02,3.850000000000000000e+02,0.000000000000000000e+00,5.820766091346740723e-11,5.208333333333333044e-03,1.644497435457614506e-05,0.000000000000000000e+00,-8.153477892847149633e-13
5.592000000000000000e+03,1.848876830225231860e+00,1.029991821961466188e-04,1.930000000000000000e+02,3.850000000000000000e+02,0.000000000000000000e+00,5.820766091346740723e-11,5.208333333333333044e-03,1.701927436826168916e-05,0.000000000000000000e+00,-8.149037000748649007e-13
5.593000000000000000e+03,1.848773836706022466e+00,1.029935192065776692e-04,1.930000000000000000e+02,3.850000000000000000e+02,0.000000000000000000e+00,5.820766091346740723e-11,5.208333333333333044e-03,1.664127481053359107e-05,0.000000000000000000e+00,-8.175682353339652764e-13
5.594000000000000000e+03,1.848670848849356840e+00,1.029878566678848453e-04,1.930000000000000000e+02,3.850000000000000000e+02,0.000000000000000000e+00,5.820766091346740723e-11,5.208333333333333044e-03,1.660544295230046062e-05,0.000000000000000000e+00,-8.153477892847149633e-13
5.595000000000000000e+03,1.848567866654811320e+00,1.029821945468231340e-04,1.930000000000000000e+02,3.850000000000000000e+02,0.000000000000000000e+00,5.820766091346740723e-11,5.208333333333333044e-03,1.644814871019659804e-05,0.000000000000000000e+00,-8.140155216551647754e-13
5.596000000000000000e+03,1.848464890121992221e+00,1.029765328138909061e-04,1.930000000000000000e+02,3.850000000000000000e+02,0.000000000000000000e+00,5.820766091346740723e-11,5.208333333333333044e-03,1.694338281261994868e-05,0.000000000000000000e+00,-8.193445921733655268e-13
5.597000000000000000e+03,1.848361919250550045e+00,1.029708714427067311e-04,1.930000000000000000e+02,3.850000000000000000e+02,0.000000000000000000e+00,5.820766091346740723e-11,5.208333333333333044e-03,1.656453639306730498e-05,0.000000000000000000e+00,-8.189005029635154642e-13
5.598000000000000000e+03,1.848258954040143065e+00,1.029652104095219871e-04,1.930000000000000000e+02,3.850000000000000000e+02,0.000000000000000000e+00,5.820766091346740723e-11,5.208333333333333044e-03,1.653849324254029010e-05,0.000000000000000000e+00,-8.162359677044150885e-13
5.599000000000000000e+03,1.848155994490450205e+00,1.029595496928329605e-04,1.930000000000000000e+02,3.850000000000000000e+02,0.000000000000000000e+00,5.820766091346740723e-11,5.208333333333333044e-03,1.613397488532412592e-05,0.000000000000000000e+00,-8.162359677044150885e-13
5.600000000000000000e+03,1.848053040601173702e+00,1.029538892730677151e-04,1.930000000000000000e+02,3.850000000000000000e+02,0.000000000000000000e+00,5.820766091346740723e-11,5.208333333333333044e-03,1.642416247332176065e-05,0.000000000000000000e+00,-8.197886813832155894e-13
5.601000000000000000e+03,1.847950092372045994e+00,1.029482291323302742e-04,1.930000000000000000e+02,3.850000000000000000e+02,0.000000000000000000e+00,5.820766091346740723e-11,5.208333333333333044e-03,1.624756259870756235e-05,0.000000000000000000e+00,-8.149037000748649007e-13
5.602000000000000000e+03,1.847847149802788635e+00,1.029425692541898927e-04,1.930000000000000000e+02,3.850000000000000000e+02,0.000000000000000000e+00,5.820766091346740723e-11,5.208333333333333044e-03,1.687086795512379177e-05,0.000000000000000000e+00,-8.180123245438153390e-13
5.603000000000000000e+03,1.847744212893167814e+00,1.029369096235044676e-04,1.930000000000000000e+02,3.850000000000000000e+02,0.000000000000000000e+00,5.820766091346740723e-11,5.208333333333333044e-03,1.632858989138128309e-05,0.000000000000000000e+00,-8.153477892847149633e-13
