time_s,time_h,max_C,max_r_m,C_center,C_surface,mean_C,loss_cumulative,water_balance,interval_mean_C,interval_loss,steps,iterations,rejections,min_dt_s,max_dt_s,worst_scaled_residual,damped_iterations
151500.0,42.083333333333336,0.17190145381548655,0.0,0.17190145381548655,0.05483376613129961,0.1401266687080522,2.4098733312906826,-1.2652101588628284e-12,0.1401266687080522,2.3211246996455686e-05,1920.0,3840.0,0.0,0.03125,0.03125,0.012173759490767464,0.0
151560.0,42.1,0.17186899407805029,0.0,0.17186899407805029,0.054829947614836415,0.14010347580181154,2.4098965241969204,-1.2678746941219288e-12,0.14010347580181154,2.3192906237783913e-05,1920.0,3840.0,0.0,0.03125,0.03125,0.012150467355522136,0.0
151620.0,42.11666666666667,0.17183656097100994,0.0,0.17183656097100994,0.0548261340434638,0.14008030121257214,2.409919698786157,-1.2709833185908792e-12,0.14008030121257214,2.3174589236680687e-05,1920.0,3840.0,0.0,0.03125,0.03125,0.012127204321834955,0.0
151680.0,42.13333333333333,0.17180415445894384,0.0,0.17180415445894384,0.054822325408389036,0.14005714491661872,2.409942855082108,-1.2732037646401295e-12,0.14005714491661872,2.3156295950890744e-05,1920.0,3840.0,0.0,0.03125,0.03125,0.012103987440515943,0.0
151740.0,42.15,0.1717717745065016,0.0,0.1717717745065016,0.05481852170083761,0.14003400689027767,2.4099659931084463,-1.2758682998992299e-12,0.14003400689027767,2.313802633825248e-05,1920.0,3840.0,0.0,0.03125,0.03125,0.012080825240360537,0.0
151800.0,42.166666666666664,0.17173942107839116,0.0,0.17173942107839116,0.054814722912056836,0.14001088710991835,2.409989112888803,-1.2785328351583303e-12,0.14001088710991835,2.3119780356701512e-05,1920.0,3840.0,0.0,0.03125,0.03125,0.012057705742010994,0.0
151860.0,42.18333333333333,0.1717070941393851,0.0,0.1717070941393851,0.054810929033311966,0.13998778555195124,2.4100122144467675,-1.2811973704174306e-12,0.13998778555195124,2.3101557964267086e-05,1920.0,3840.0,0.0,0.03125,0.03125,0.012034651263011998,0.0
151920.0,42.2,0.1716747936543238,0.0,0.1716747936543238,0.054807140055888916,0.13996470219282947,2.4100352978058868,-1.283417816466681e-12,0.13996470219282947,2.3083359119072613e-05,1920.0,3840.0,0.0,0.03125,0.03125,0.012011646762072866,0.0
151980.0,42.21666666666667,0.1716425195881061,0.0,0.1716425195881061,0.05480335597109183,0.13994163700904752,2.410058362989666,-1.2860823517257813e-12,0.13994163700904752,2.306518377933425e-05,1920.0,3840.0,0.0,0.03125,0.03125,0.011988684597368992,0.0
152040.0,42.233333333333334,0.1716102719056979,0.0,0.1716102719056979,0.05479957677024619,0.13991858997714154,2.4100814100215695,-1.2887468869848817e-12,0.13991858997714154,2.3047031903362647e-05,1920.0,3840.0,0.0,0.03125,0.03125,0.011965756265696365,0.0
152100.0,42.25,0.17157805057212783,0.0,0.17157805057212783,0.054795802444695854,0.13989556107368933,2.410104438925019,-1.291411422243982e-12,0.13989556107368933,2.302890344956536e-05,1920.0,3840.0,0.0,0.03125,0.03125,0.011942895248736162,0.0
152160.0,42.266666666666666,0.17154585555248594,0.0,0.17154585555248594,0.054792032985804213,0.13987255027531018,2.4101274497233955,-1.2940759575030825e-12,0.13987255027531018,2.301079837643824e-05,1920.0,3840.0,0.0,0.03125,0.03125,0.011920071222473301,0.0
152220.0,42.28333333333333,0.17151368681192833,0.0,0.17151368681192833,0.05478826838495405,0.1398495575586649,2.410150442440038,-1.2967404927621828e-12,0.1398495575586649,2.2992716642573974e-05,1920.0,3840.0,0.0,0.03125,0.03125,0.011897239481227374,0.0
152280.0,42.3,0.17148154431567275,0.0,0.17148154431567275,0.0547845086335473,0.13982658290045577,2.4101734170982447,-1.2994050280212832e-12,0.13982658290045577,2.2974658206654034e-05,1920.0,3840.0,0.0,0.03125,0.03125,0.011874504834325571,0.0
152340.0,42.31666666666667,0.17144942802899765,0.0,0.17144942802899765,0.05478075372300558,0.13980362627742557,2.410196373721272,-1.3020695632803836e-12,0.13980362627742557,2.2956623027456806e-05,1920.0,3840.0,0.0,0.03125,0.03125,0.011851864692561592,0.0
152400.0,42.333333333333336,0.17141733791724853,0.0,0.17141733791724853,0.05477700364476946,0.13978068766635895,2.410219312332336,-1.304734098539484e-12,0.13978068766635895,2.2938611063849853e-05,1920.0,3840.0,0.0,0.03125,0.03125,0.011829203911883062,0.0
152460.0,42.35,0.17138527394583097,0.0,0.17138527394583097,0.054773258390298236,0.13975776704408152,2.410242232954611,-1.3073986337985843e-12,0.13975776704408152,2.292062227479492e-05,1920.0,3840.0,0.0,0.03125,0.03125,0.011806595147049948,0.0
152520.0,42.36666666666667,0.1713532360802104,0.0,0.1713532360802104,0.05476951795107059,0.13973486438745963,2.41026513561123,-1.3100631690576847e-12,0.13973486438745963,2.2902656619340757e-05,1920.0,3840.0,0.0,0.03125,0.03125,0.011784074314708749,0.0
152580.0,42.38333333333333,0.17132122428592003,0.0,0.17132122428592003,0.054765782318584984,0.1397119796734003,2.4102880203252868,-1.312727704316785e-12,0.1397119796734003,2.2884714056634662e-05,1920.0,3840.0,0.0,0.03125,0.03125,0.011761546209359774,0.0
152640.0,42.4,0.17128923852855255,0.0,0.17128923852855255,0.05476205148435779,0.13968911287885158,2.4103108871198327,-1.3153922395758855e-12,0.13968911287885158,2.2866794545911338e-05,1920.0,3840.0,0.0,0.03125,0.03125,0.01173912364666517,0.0
152700.0,42.416666666666664,0.17125727877375946,0.0,0.17125727877375946,0.054758325439924885,0.13966626398080256,2.410333736017879,-1.3180567748349858e-12,0.13966626398080256,2.2848898046496043e-05,1920.0,3840.0,0.0,0.03125,0.03125,0.011716724785425842,0.0
152760.0,42.43333333333333,0.1712253449872598,0.0,0.1712253449872598,0.05475460417684093,0.1396434329562823,2.4103565670423968,-1.3207213100940862e-12,0.1396434329562823,2.283102451780672e-05,1920.0,3840.0,0.0,0.03125,0.03125,0.011694341478530466,0.0
152820.0,42.45,0.17119343713483204,0.0,0.17119343713483204,0.054750887686679135,0.13962061978236032,2.410379380216316,-1.3233858453531866e-12,0.13962061978236032,2.28131739193499e-05,1920.0,3840.0,0.0,0.03125,0.03125,0.011672065182290688,0.0
152880.0,42.46666666666667,0.17116155518231235,0.0,0.17116155518231235,0.05474717596103203,0.13959782443614688,2.4104021755625267,-1.326050380612287e-12,0.13959782443614688,2.2795346210723526e-05,1920.0,3840.0,0.0,0.03125,0.03125,0.011649792583029816,0.0
152940.0,42.483333333333334,0.17112969909560488,0.0,0.17112969909560488,0.054743468991510745,0.13957504689479264,2.4104249531038784,-1.3287149158713873e-12,0.13957504689479264,2.2777541351616504e-05,1920.0,3840.0,0.0,0.03125,0.03125,0.011627568496142686,0.0
153000.0,42.5,0.17109786884067235,0.0,0.17109786884067235,0.05473976676974454,0.1395522871354882,2.41044771286318,-1.3313794511304877e-12,0.1395522871354882,2.2759759301806004e-05,1920.0,3840.0,0.0,0.03125,0.03125,0.011605393487280808,0.0
153060.0,42.516666666666666,0.17106606438353458,0.0,0.17106606438353458,0.05473606928738165,0.13952954513546448,2.410470454863201,-1.3344880755994382e-12,0.13952954513546448,2.27420000211571e-05,1920.0,3840.0,0.0,0.03125,0.03125,0.011583272370891642,0.0
153120.0,42.53333333333333,0.17103428569027954,0.0,0.17103428569027954,0.054732376536089464,0.13950682087199226,2.4104931791266706,-1.3371526108585385e-12,0.13950682087199226,2.2724263469627857e-05,1920.0,3840.0,0.0,0.03125,0.03125,0.011561184759969157,0.0
153180.0,42.55,0.17100253272705243,0.0,0.17100253272705243,0.05472868850755312,0.13948411432238234,2.410515885676278,-1.339817146117639e-12,0.13948411432238234,2.2706549607265273e-05,1920.0,3840.0,0.0,0.03125,0.03125,0.01153915226446545,0.0
153240.0,42.56666666666667,0.17097080546005627,0.0,0.17097080546005627,0.05472500519347687,0.13946142546398563,2.410538574534672,-1.3420375921668892e-12,0.13946142546398563,2.2688858394202758e-05,1920.0,3840.0,0.0,0.03125,0.03125,0.011517151981101103,0.0
153300.0,42.583333333333336,0.17093910385556077,0.0,0.17093910385556077,0.05472132658558259,0.13943875427419222,2.410561245724463,-1.3447021274259896e-12,0.13943875427419222,2.267118979066356e-05,1920.0,3840.0,0.0,0.03125,0.03125,0.01149522696834918,0.0
153360.0,42.6,0.17090742787989283,0.0,0.17090742787989283,0.05471765267561109,0.139416100730433,2.41058389926822,-1.34692257347524e-12,0.139416100730433,2.2653543756957963e-05,1920.0,3840.0,0.0,0.03125,0.03125,0.011473333542452877,0.0
153420.0,42.61666666666667,0.17087577749943783,0.0,0.17087577749943783,0.054713983455322045,0.1393934648101768,2.410606535188473,-1.3500311979441904e-12,0.1393934648101768,2.2635920253487646e-05,1920.0,3840.0,0.0,0.03125,0.03125,0.01145143953681119,0.0
153480.0,42.63333333333333,0.17084415268064546,0.0,0.17084415268064546,0.054710318916492105,0.13937084649093348,2.410629153507714,-1.3526957332032907e-12,0.13937084649093348,2.2618319240739315e-05,1920.0,3840.0,0.0,0.03125,0.03125,0.011429635582451839,0.0
153540.0,42.65,0.1708125533900229,0.0,0.1708125533900229,0.05470665905091712,0.13934824575025134,2.410651754248393,-1.3553602684623911e-12,0.13934824575025134,2.2600740679287675e-05,1920.0,3840.0,0.0,0.03125,0.03125,0.011407855814333729,0.0
153600.0,42.666666666666664,0.17078097959413668,0.0,0.17078097959413668,0.05470300385041058,0.1393256625657193,2.410674337432923,-1.3575807145116414e-12,0.1393256625657193,2.2583184529793732e-05,1920.0,3840.0,0.0,0.03125,0.03125,0.011386146047699554,0.0
153660.0,42.68333333333333,0.17074943125961553,0.0,0.17074943125961553,0.05469935330680528,0.13930309691496376,2.410696903083676,-1.3602452497707418e-12,0.13930309691496376,2.2565650753009915e-05,1920.0,3840.0,0.0,0.03125,0.03125,0.011364467045821204,0.0
153720.0,42.7,0.17071790835314637,0.0,0.17071790835314637,0.05469570741195031,0.13928054877565155,2.410719451222986,-1.3624656958199921e-12,0.13928054877565155,2.2548139309772897e-05,1920.0,3840.0,0.0,0.03125,0.03125,0.011342829625817074,0.0
153780.0,42.71666666666667,0.170686410841475,0.0,0.170686410841475,0.0546920661577145,0.13925801812548788,2.410741981873147,-1.3651302310790925e-12,0.13925801812548788,2.2530650161004847e-05,1920.0,3840.0,0.0,0.03125,0.03125,0.011321242794625375,0.0
153840.0,42.733333333333334,0.17065493869140735,0.0,0.17065493869140735,0.05468842953598334,0.13923550494221754,2.410764495056415,-1.3673506771283428e-12,0.13923550494221754,2.2513183267716974e-05,1920.0,3840.0,0.0,0.03125,0.03125,0.011299704710098045,0.0
153900.0,42.75,0.17062349186980985,0.0,0.17062349186980985,0.05468479753866111,0.1392130092036241,2.410786990795006,-1.3700152123874432e-12,0.1392130092036241,2.249573859100379e-05,1920.0,3840.0,0.0,0.03125,0.03125,0.011278247883870125,0.0
153960.0,42.766666666666666,0.17059207034360555,0.0,0.17059207034360555,0.05468117015766997,0.13919053088752945,2.410809469111098,-1.3722356584366935e-12,0.13919053088752945,2.2478316092050104e-05,1920.0,3840.0,0.0,0.03125,0.03125,0.011256789934597127,0.0
154020.0,42.78333333333333,0.17056067407977693,0.0,0.17056067407977693,0.054677547384949426,0.13916806997179487,2.41083193002683,-1.3749001936957939e-12,0.13916806997179487,2.2460915732122382e-05,1920.0,3840.0,0.0,0.03125,0.03125,0.0112353671206551,0.0
154080.0,42.8,0.1705293030453685,0.0,0.1705293030453685,0.05467392921245695,0.1391456264343198,2.4108543735643027,-1.3775647289548942e-12,0.1391456264343198,2.2443537472575704e-05,1920.0,3840.0,0.0,0.03125,0.03125,0.01121401300649614,0.0
154140.0,42.81666666666667,0.1704979572074808,0.0,0.1704979572074808,0.054670315632167725,0.13912320025304242,2.4108767997455773,-1.3802292642139946e-12,0.13912320025304242,2.2426181274845583e-05,1920.0,3840.0,0.0,0.03125,0.03125,0.011192694036282891,0.0
154200.0,42.833333333333336,0.17046663653326857,0.0,0.17046663653326857,0.05466670663607549,0.13910079140593942,2.410899208592678,-1.382449710263245e-12,0.13910079140593942,2.2408847100459517e-05,1920.0,3840.0,0.0,0.03125,0.03125,0.011171365946035036,0.0
154260.0,42.85,0.1704353409899556,0.0,0.1704353409899556,0.05466310221619025,0.13907839987102583,2.410921600127589,-1.3851142455223453e-12,0.13907839987102583,2.239153491102599e-05,1920.0,3840.0,0.0,0.03125,0.03125,0.011150153637048724,0.0
154320.0,42.86666666666667,0.1704040705448183,0.0,0.1704040705448183,0.05465950236454097,0.139056025626355,2.410943974372257,-1.3877787807814457e-12,0.139056025626355,2.2374244668238773e-05,1920.0,3840.0,0.0,0.03125,0.03125,0.011128980167763371,0.0
154380.0,42.88333333333333,0.17037282516518248,0.0,0.17037282516518248,0.054655907073173145,0.13903366865001873,2.410966331348591,-1.389999226830696e-12,0.13903366865001873,2.2356976333876248e-05,1920.0,3840.0,0.0,0.03125,0.03125,0.011107820303395056,0.0
154440.0,42.9,0.17034160481844968,0.0,0.17034160481844968,0.05465231633415019,0.13901132892014637,2.410988671078461,-1.3926637620897964e-12,0.13901132892014637,2.2339729869799704e-05,1920.0,3840.0,0.0,0.03125,0.03125,0.011086757272447649,0.0
154500.0,42.916666666666664,0.17031040947207066,0.0,0.17031040947207066,0.0546487301395533,0.13898900641490589,2.411010993583699,-1.3948842081390467e-12,0.13898900641490589,2.2322505237957114e-05,1920.0,3840.0,0.0,0.03125,0.03125,0.011065697689798022,0.0
154560.0,42.93333333333333,0.17027923909354198,0.0,0.17027923909354198,0.05464514848148061,0.13896670111250314,2.411033298886099,-1.397548743398147e-12,0.13896670111250314,2.2305302400377523e-05,1920.0,3840.0,0.0,0.03125,0.03125,0.011044662110927788,0.0
154620.0,42.95,0.1702480936504416,0.0,0.1702480936504416,0.05464157135204792,0.1389444129911815,2.4110555870074184,-1.3997691894473974e-12,0.1389444129911815,2.2288121319176108e-05,1920.0,3840.0,0.0,0.03125,0.03125,0.011023678362651869,0.0
